zpid,id,detailUrl,address,addressStreet,Zipcode,number of bedrooms,number of bathrooms,area,price,latitude,longitude
86099368,86099368,https://www.zillow.com/homedetails/7210-E-19th-Ave-Stillwater-OK-74074/86099368_zpid/,"7210 E 19th Ave, Stillwater, OK 74074",7210 E 19th Ave,74074,4,3,2958,495000,36.10336,-96.95792
86101000,86101000,https://www.zillow.com/homedetails/4824-W-Country-Club-Dr-Stillwater-OK-74074/86101000_zpid/,"4824 W Country Club Dr, Stillwater, OK 74074",4824 W Country Club Dr,74074,3,3,2775,400000,36.10716,-97.12319
93370423,93370423,https://www.zillow.com/homedetails/713-E-Lynn-Ln-Stillwater-OK-74075/93370423_zpid/,"713 E Lynn Ln, Stillwater, OK 74075",713 E Lynn Ln,74075,4,2,1925,272550,36.17905,-97.05016
125525395,125525395,https://www.zillow.com/homedetails/9001-W-Cedar-Crest-Trl-Stillwater-OK-74074/125525395_zpid/,"9001 W Cedar Crest Trl, Stillwater, OK 74074",9001 W Cedar Crest Trl,74074,4,4,3191,850000,36.12394,-97.18135
2067984189,2067984189,https://www.zillow.com/homedetails/5925-S-Haydans-Brk-Stillwater-OK-74074/2067984189_zpid/,"5925 S Haydans Brk, Stillwater, OK 74074",5925 S Haydans Brk,74074,4,2,2089,365575,0.0,0.0
224763889,224763889,https://www.zillow.com/homedetails/1002-E-Knapp-Ave-Stillwater-OK-74075/224763889_zpid/,"1002 E Knapp Ave, Stillwater, OK 74075",1002 E Knapp Ave,74075,3,2,1062,159000,36.137646,-97.04634
224765978,224765978,https://www.zillow.com/homedetails/113-S-Monticello-Dr-Stillwater-OK-74074/224765978_zpid/,"113 S Monticello Dr, Stillwater, OK 74074",113 S Monticello Dr,74074,2,1,828,125000,36.1221,-97.07774
224768697,224768697,https://www.zillow.com/homedetails/3811-W-Eagle-Creek-Ave-Stillwater-OK-74074/224768697_zpid/,"3811 W Eagle Creek Ave, Stillwater, OK 74074",3811 W Eagle Creek Ave,74074,4,3,2572,451120,36.07992,-97.10868
224770885,224770885,https://www.zillow.com/homedetails/4403-N-Cowboy-Canyon-Rd-Stillwater-OK-74075/224770885_zpid/,"4403 N Cowboy Canyon Rd, Stillwater, OK 74075",4403 N Cowboy Canyon Rd,74075,4,2,2314,339500,36.16688,-97.13337
86100109,86100109,https://www.zillow.com/homedetails/2902-W-15th-Ave-Stillwater-OK-74074/86100109_zpid/,"2902 W 15th Ave, Stillwater, OK 74074",2902 W 15th Ave,74074,3,2,1614,195000,36.105442,-97.09466
